source_path,object_name,status,rows,columns,output_path,note,parquet_path,parquet_status
data/raw/core_archives/AAT_03_oprisk_core/03_oprisk/cran_OpVaR/data/lossdat.rda,lossdat,converted_csv,1965,3,data/processed/r_native_fallback/lossdat__lossdat__part_1.csv.gz,Converted with native R 4.6.1 fallback.,data/processed/r_native_fallback/lossdat__lossdat__part_1.parquet,verified
data/raw/core_archives/AAT_03_oprisk_core/03_oprisk/cran_OpVaR/data/lossdat.rda,lossdat,converted_csv,2025,3,data/processed/r_native_fallback/lossdat__lossdat__part_2.csv.gz,Converted with native R 4.6.1 fallback.,data/processed/r_native_fallback/lossdat__lossdat__part_2.parquet,verified
data/raw/core_archives/AAT_03_oprisk_core/03_oprisk/cran_OpVaR/data/lossdat.rda,lossdat,converted_csv,1995,3,data/processed/r_native_fallback/lossdat__lossdat__part_3.csv.gz,Converted with native R 4.6.1 fallback.,data/processed/r_native_fallback/lossdat__lossdat__part_3.parquet,verified
data/raw/core_archives/AAT_03_oprisk_core/03_oprisk/cran_OpVaR/data/lossdat.rda,lossdat,converted_csv,1941,3,data/processed/r_native_fallback/lossdat__lossdat__part_4.csv.gz,Converted with native R 4.6.1 fallback.,data/processed/r_native_fallback/lossdat__lossdat__part_4.parquet,verified
data/raw/github/01_reserving/kasaai_simulationmachine/R/sysdata.rda,.lob_12,serialized_r_text,3,NA,data/processed/r_native_fallback/sysdata__.lob_12.R.txt,Non-tabular object preserved as base-R dput text.,,
data/raw/github/01_reserving/kasaai_simulationmachine/R/sysdata.rda,.lob_34,serialized_r_text,3,NA,data/processed/r_native_fallback/sysdata__.lob_34.R.txt,Non-tabular object preserved as base-R dput text.,,
data/raw/github/01_reserving/kasaai_simulationmachine/R/sysdata.rda,.translators,serialized_r_text,35,NA,data/processed/r_native_fallback/sysdata__.translators.R.txt,Non-tabular object preserved as base-R dput text.,,
data/raw/github/01_reserving/kasaai_simulationmachine/R/sysdata.rda,.parameters,serialized_r_text,35,NA,data/processed/r_native_fallback/sysdata__.parameters.R.txt,Non-tabular object preserved as base-R dput text.,,
data/raw/github/01_reserving/kasaai_simulationmachine/R/sysdata.rda,.list_of_variables,converted_csv,35,28,data/processed/r_native_fallback/sysdata__.list_of_variables.csv.gz,Converted with native R 4.6.1 fallback.,data/processed/r_native_fallback/sysdata__.list_of_variables.parquet,verified
data/raw/github/02_motor_pricing/CASdatasets/data/brvehins2a.rda,brvehins2a,converted_csv,666938,18,data/processed/r_native_fallback/brvehins2a__brvehins2a.csv.gz,Converted with native R 4.6.1 fallback.,data/processed/r_native_fallback/brvehins2a__brvehins2a.parquet,verified_pandas_fallback
data/raw/github/02_motor_pricing/CASdatasets/data/brvehins2b.rda,brvehins2b,converted_csv,666938,18,data/processed/r_native_fallback/brvehins2b__brvehins2b.csv.gz,Converted with native R 4.6.1 fallback.,data/processed/r_native_fallback/brvehins2b__brvehins2b.parquet,verified
data/raw/github/02_motor_pricing/CASdatasets/data/brvehins2c.rda,brvehins2c,converted_csv,666938,18,data/processed/r_native_fallback/brvehins2c__brvehins2c.csv.gz,Converted with native R 4.6.1 fallback.,data/processed/r_native_fallback/brvehins2c__brvehins2c.parquet,verified_pandas_fallback
data/raw/github/02_motor_pricing/CASdatasets/data/brvehins2d.rda,brvehins2d,converted_csv,666938,18,data/processed/r_native_fallback/brvehins2d__brvehins2d.csv.gz,Converted with native R 4.6.1 fallback.,data/processed/r_native_fallback/brvehins2d__brvehins2d.parquet,verified
data/raw/github/02_motor_pricing/CASdatasets/data/eutelematic13.rda,eutelematic13,converted_csv,1999028,17,data/processed/r_native_fallback/eutelematic13__eutelematic13.csv.gz,Converted with native R 4.6.1 fallback.,data/processed/r_native_fallback/eutelematic13__eutelematic13.parquet,verified
data/raw/github/02_motor_pricing/CASdatasets/geodata/brgeomunic_sp.rda,brgeomunic_sp,serialized_r_text,5566,NA,data/processed/r_native_fallback/brgeomunic_sp__brgeomunic_sp.R.txt,Non-tabular object preserved as base-R dput text.,,
data/raw/github/03_oprisk/cran_copula/inst/rData/retstable_st2.rda,St.c,serialized_r_text,1232,NA,data/processed/r_native_fallback/retstable_st2__St.c.R.txt,Non-tabular object preserved as base-R dput text.,,
data/raw/github/03_oprisk/cran_copula/inst/rData/retstable_st2.rda,alpha,serialized_r_text,11,NA,data/processed/r_native_fallback/retstable_st2__alpha.R.txt,Non-tabular object preserved as base-R dput text.,,
data/raw/github/03_oprisk/cran_copula/inst/rData/retstable_st2.rda,V0,serialized_r_text,8,NA,data/processed/r_native_fallback/retstable_st2__V0.R.txt,Non-tabular object preserved as base-R dput text.,,
data/raw/github/03_oprisk/cran_copula/inst/rData/retstable_st2.rda,h,serialized_r_text,7,NA,data/processed/r_native_fallback/retstable_st2__h.R.txt,Non-tabular object preserved as base-R dput text.,,
data/raw/github/03_oprisk/cran_copula/inst/rData/retstable_st2.rda,meth,serialized_r_text,2,NA,data/processed/r_native_fallback/retstable_st2__meth.R.txt,Non-tabular object preserved as base-R dput text.,,
data/raw/github/03_oprisk/cran_copula/inst/rData/retstable_st2.rda,nsim,serialized_r_text,1,NA,data/processed/r_native_fallback/retstable_st2__nsim.R.txt,Non-tabular object preserved as base-R dput text.,,
data/raw/github/03_oprisk/cran_copula/R/sysdata.rda,.claytonRhoNeg,serialized_r_text,3,NA,data/processed/r_native_fallback/sysdata__.claytonRhoNeg.R.txt,Non-tabular object preserved as base-R dput text.,,
data/raw/github/03_oprisk/cran_copula/R/sysdata.rda,.claytonRhoPos,serialized_r_text,3,NA,data/processed/r_native_fallback/sysdata__.claytonRhoPos.R.txt,Non-tabular object preserved as base-R dput text.,,
data/raw/github/03_oprisk/cran_copula/R/sysdata.rda,.galambosRho,serialized_r_text,3,NA,data/processed/r_native_fallback/sysdata__.galambosRho.R.txt,Non-tabular object preserved as base-R dput text.,,
data/raw/github/03_oprisk/cran_copula/R/sysdata.rda,.galambosTau,serialized_r_text,3,NA,data/processed/r_native_fallback/sysdata__.galambosTau.R.txt,Non-tabular object preserved as base-R dput text.,,
data/raw/github/03_oprisk/cran_copula/R/sysdata.rda,.gumbelRho,serialized_r_text,3,NA,data/processed/r_native_fallback/sysdata__.gumbelRho.R.txt,Non-tabular object preserved as base-R dput text.,,
data/raw/github/03_oprisk/cran_copula/R/sysdata.rda,.huslerReissRho,serialized_r_text,3,NA,data/processed/r_native_fallback/sysdata__.huslerReissRho.R.txt,Non-tabular object preserved as base-R dput text.,,
data/raw/github/03_oprisk/cran_copula/R/sysdata.rda,.huslerReissTau,serialized_r_text,3,NA,data/processed/r_native_fallback/sysdata__.huslerReissTau.R.txt,Non-tabular object preserved as base-R dput text.,,
data/raw/github/03_oprisk/cran_copula/R/sysdata.rda,.plackettTau,serialized_r_text,3,NA,data/processed/r_native_fallback/sysdata__.plackettTau.R.txt,Non-tabular object preserved as base-R dput text.,,
data/raw/github/03_oprisk/cran_copula/R/sysdata.rda,.tevRho,serialized_r_text,3,NA,data/processed/r_native_fallback/sysdata__.tevRho.R.txt,Non-tabular object preserved as base-R dput text.,,
data/raw/github/03_oprisk/cran_copula/R/sysdata.rda,.tevTau,serialized_r_text,3,NA,data/processed/r_native_fallback/sysdata__.tevTau.R.txt,Non-tabular object preserved as base-R dput text.,,
