source_kind,local_path,source_url,revision,sha256,bytes,file_count,license_files,declared_license,status,note
git,data/raw/github/01_reserving/cran_actuar,https://github.com/cran/actuar.git,772559751b3f20003ca78f791bd723b723f01015,,2355895,278,,GPL (>= 2),verified,Shallow provenance clone; commit identifies exact snapshot.
git,data/raw/github/01_reserving/cran_ChainLadder,https://github.com/cran/ChainLadder.git,8e3109a76e823f1e54b4f257d739ed105e18651a,,3087866,163,,GPL (>= 2),verified,Shallow provenance clone; commit identifies exact snapshot.
git,data/raw/github/01_reserving/cran_insuranceData,https://github.com/cran/insuranceData.git,5351f3c8e6fff843c7993b1c1d2669f6c1a58123,,609986,23,,GPL-2,verified,Shallow provenance clone; commit identifies exact snapshot.
git,data/raw/github/01_reserving/cran_raw,https://github.com/cran/raw.git,51b5f6621458f2508c14dc8d729945e2e9773efa,,751709,51,LICENSE,MPL-2.0 | file LICENSE,verified,Shallow provenance clone; commit identifies exact snapshot.
git,data/raw/github/01_reserving/cran_SPLICE,https://github.com/cran/SPLICE.git,7b14a70e5136a25f5717e393a1441383c680aa79,,2945174,37,,GPL-3,verified,Shallow provenance clone; commit identifies exact snapshot.
git,data/raw/github/01_reserving/cran_SynthETIC,https://github.com/cran/SynthETIC.git,76e6d3e7c73254a4bf420c1856c0fb0fe7aa9e71,,5370848,82,,GPL-3,verified,Shallow provenance clone; commit identifies exact snapshot.
git,data/raw/github/01_reserving/kasaai_simulationmachine,https://github.com/kasaai/simulationmachine.git,0faf07e44fa41621f93b39cdf62039a330e91b21,,400404,421,LICENSE.md,Apache License (>= 2.0),verified,Shallow provenance clone; commit identifies exact snapshot.
git,data/raw/github/01_reserving/kevinykuo_deeptriangle,https://github.com/kevinykuo/deeptriangle.git,8ebf50be4a79c2f2453fad11024288a46d8b331f,,716198,51,LICENSE.md,Apache License (>= 2.0),verified,Shallow provenance clone; commit identifies exact snapshot.
git,data/raw/github/01_reserving/problemofpoints_reservetestr,https://github.com/problemofpoints/reservetestr.git,fbe38e1988134d82a15750de4ab97d2a60510881,,6978889,66,LICENSE;LICENSE.md,MIT + file LICENSE,verified,Shallow provenance clone; commit identifies exact snapshot.
git,data/raw/github/02_motor_pricing/ActuarialDataScience,https://github.com/JSchelldorfer/ActuarialDataScience.git,4075cef316b01645fd6b5d15e4558accbd380bf2,,546445834,336,,not declared at repository root,verified,Shallow provenance clone; commit identifies exact snapshot.
git,data/raw/github/02_motor_pricing/CASdatasets,https://github.com/dutangc/CASdatasets.git,227fb56b8734bdb7c0327a41180e01d2ddaeaf26,,290931169,591,,GPL (>= 2),verified,Shallow provenance clone; commit identifies exact snapshot.
git,data/raw/github/03_oprisk/cran_copula,https://github.com/cran/copula.git,d0ddd79049170bad2dfd243f86bb483e91c3108f,,7604770,416,LICENCE,GPL (>= 3) | file LICENCE,verified,Shallow provenance clone; commit identifies exact snapshot.
git,data/raw/github/03_oprisk/cran_evd,https://github.com/cran/evd.git,d42be7d4de5bc5e0a0ee126bf4d31fce3b30de2c,,1716289,104,,GPL-3,verified,Shallow provenance clone; commit identifies exact snapshot.
git,data/raw/github/03_oprisk/cran_evir,https://github.com/cran/evir.git,74d68b6c8a53f1d9e35a08277a20d2beb781534b,,385292,59,,GPL (>= 2),verified,Shallow provenance clone; commit identifies exact snapshot.
git,data/raw/github/03_oprisk/cran_ggsolvencyii,https://github.com/cran/ggsolvencyii.git,db6c908d13b28fd0901dcd2a0fbc403c84329985,,1013603,135,,GPL-3,verified,Shallow provenance clone; commit identifies exact snapshot.
git,data/raw/github/03_oprisk/cran_OpVaR,https://github.com/cran/OpVaR.git,14b18409a3832e21e870fac45c3e1ba8ff916558,,270500,70,,GPL-3,verified,Shallow provenance clone; commit identifies exact snapshot.
