detection_scale,frequency_multiplier,loss_conversion_ratio,remediation_cost,topology,var_995,var_995_ci_low,var_995_ci_high,es_995
0.6,0.5,0.01,1000.0,T1_LINEAR,397238735.71115583,350864500.304653,397269310.4089348,481119938.6231206
0.6,0.5,0.01,1000.0,T2_VALIDATOR,19528.197994566155,18508.71573154545,21749.0625105943,22339.58064277792
0.6,0.5,0.01,1000.0,T3_SUPERVISOR,18249.942424120916,17242.523626407845,19600.412598848747,20404.98646128097
0.6,0.5,0.01,1000.0,T4_CRITIC,9157629.672605736,9154866.11848695,9159924.358753875,9770444.666323747
0.6,0.5,0.01,1000.0,T5_HUMAN_K0,351603257.57501984,350872124.9407814,406391688.85513717,458922454.4596363
0.6,0.5,0.01,1000.0,T5_HUMAN_K1,149951053.39949387,149947924.17484897,149952448.75255576,160255206.73032665
0.6,0.5,0.01,1000.0,T5_HUMAN_K2,25912.32602464515,23344.714379724024,28122.687897436583,29317.789477243306
0.6,0.5,0.01,1000.0,T5_HUMAN_K3,28595.530866998495,26735.87538858215,29162.678044326272,31230.457691448486
0.6,0.5,0.01,5000.0,T1_LINEAR,397250735.71115583,346606839.114501,397289351.1417343,481147938.6231206
0.6,0.5,0.01,5000.0,T2_VALIDATOR,65991.03535116903,61559.51392672599,68624.82821892026,70729.5200232221
0.6,0.5,0.01,5000.0,T3_SUPERVISOR,58743.23489210674,57330.90085762277,63833.58643007301,67510.6213911413
0.6,0.5,0.01,5000.0,T4_CRITIC,9186788.249431832,9182395.457296062,9190548.512348413,9803116.098032186
0.6,0.5,0.01,5000.0,T5_HUMAN_K0,351627257.57501984,350935199.06898576,406853621.4901328,458949921.1263029
0.6,0.5,0.01,5000.0,T5_HUMAN_K1,149980468.45465443,149976011.3511338,149984294.6123349,160286245.76264757
0.6,0.5,0.01,5000.0,T5_HUMAN_K2,64917.65683433685,63344.6636436821,67188.98325963497,70190.21563582761
0.6,0.5,0.01,5000.0,T5_HUMAN_K3,69021.1899174064,64895.89293307581,69836.21268347427,70942.82910967026
0.6,0.5,0.01,10000.0,T1_LINEAR,397265735.71115583,350900565.3758036,398924833.85001117,481182938.6231206
0.6,0.5,0.01,10000.0,T2_VALIDATOR,125986.9170434931,115702.91810519216,128950.9949496497,133316.42393829627
0.6,0.5,0.01,10000.0,T3_SUPERVISOR,112768.93935594978,110001.2065227544,125510.5672734896,127525.4667618101
0.6,0.5,0.01,10000.0,T4_CRITIC,9226144.484396225,9219763.485121975,9231936.561037965,9846688.621865558
0.6,0.5,0.01,10000.0,T5_HUMAN_K0,351657257.57501984,351123151.63207656,406893575.43556774,458984254.4596363
0.6,0.5,0.01,10000.0,T5_HUMAN_K1,150018193.5373167,150010860.38627627,150023200.2595549,160326923.5021019
0.6,0.5,0.01,10000.0,T5_HUMAN_K2,119088.45984471035,113994.80018224032,125080.67165152312,127636.5954435341
0.6,0.5,0.01,10000.0,T5_HUMAN_K3,122902.74741995645,115494.45585319931,129369.61796857415,129443.09818714896
0.6,0.5,0.05,1000.0,T1_LINEAR,1986181678.555779,1740093345.294655,1992939864.61922,2405571693.115603
0.6,0.5,0.05,1000.0,T2_VALIDATOR,61822.03149850669,56716.63034893561,66925.43331779758,69799.32313151877
0.6,0.5,0.05,1000.0,T3_SUPERVISOR,56210.69361095377,53182.57172776517,61040.69407233908,62422.62114563444
0.6,0.5,0.05,1000.0,T4_CRITIC,45765941.61238178,45753143.01792289,45769403.63695868,48822404.8858372
0.6,0.5,0.05,1000.0,T5_HUMAN_K0,1757992253.2784731,1754340678.7159417,1994334932.7426558,2294584805.6315155
0.6,0.5,0.05,1000.0,T5_HUMAN_K1,749725593.3266833,749710339.0102085,749739911.0901884,801248208.5047551
0.6,0.5,0.05,1000.0,T5_HUMAN_K2,94963.18772899934,89798.93329562379,105557.32272474821,112305.58126370552
0.6,0.5,0.05,1000.0,T5_HUMAN_K3,111381.17726675315,104748.94931207036,115378.09287417078,125820.18128346236
0.6,0.5,0.05,5000.0,T1_LINEAR,1986193678.555779,1754322526.423841,1992974072.2810748,2405599693.115603
0.6,0.5,0.05,5000.0,T2_VALIDATOR,97640.9899728308,92126.08027772185,108745.08260461401,111697.90321388957
0.6,0.5,0.05,5000.0,T3_SUPERVISOR,91249.71212060458,86212.60856691937,97994.16345565308,102024.93230640484
0.6,0.5,0.05,5000.0,T4_CRITIC,45788148.36302869,45774334.71832699,45799621.793769374,48852223.33161875
0.6,0.5,0.05,5000.0,T5_HUMAN_K0,1758016287.8750992,1754482923.2092996,2461956113.171038,2294612272.298182
0.6,0.5,0.05,5000.0,T5_HUMAN_K1,749755266.9974694,749739340.7867365,749764756.1910808,801276033.6516334
0.6,0.5,0.05,5000.0,T5_HUMAN_K2,129561.63012322575,115921.33723611718,140111.93036627898,146588.94738621652
0.6,0.5,0.05,5000.0,T5_HUMAN_K3,142977.6543349925,134072.5138476143,146837.3413953696,156152.28845724242
0.6,0.5,0.05,10000.0,T1_LINEAR,1986208678.555779,1736056703.5081189,1986381602.0446734,2405634693.115603
0.6,0.5,0.05,10000.0,T2_VALIDATOR,156280.85907111387,147139.89943945972,163733.2179474687,169084.30055582442
0.6,0.5,0.05,10000.0,T3_SUPERVISOR,139308.70489459106,131125.22770707423,152425.59828942202,159497.6357657308
0.6,0.5,0.05,10000.0,T4_CRITIC,45814670.660852216,45808081.49071408,45834398.300500624,48891020.14215099
0.6,0.5,0.05,10000.0,T5_HUMAN_K0,1758046287.8750992,1757976391.4095216,2034148418.8749855,2294646605.6315155
0.6,0.5,0.05,10000.0,T5_HUMAN_K1,749787950.8801129,749772177.4471765,749805155.7007422,801313531.1115291
0.6,0.5,0.05,10000.0,T5_HUMAN_K2,168158.0947980606,163927.05055819254,185593.4855625669,192640.8444647361
0.6,0.5,0.05,10000.0,T5_HUMAN_K3,184348.65674123119,178680.42134031962,194004.6167748461,199162.2880097576
0.6,0.5,0.1,1000.0,T1_LINEAR,3972360357.111558,3508608988.5881305,3972579166.240262,4811136386.231206
0.6,0.5,0.1,1000.0,T2_VALIDATOR,113663.96069170252,102437.57077487008,125956.86931374006,130865.65603398363
0.6,0.5,0.1,1000.0,T3_SUPERVISOR,106088.04643149854,97364.40406469734,110237.38636306926,116534.01944887218
0.6,0.5,0.1,1000.0,T4_CRITIC,91524888.22476356,91502122.37999876,91532773.25513981,97637809.7716744
0.6,0.5,0.1,1000.0,T5_HUMAN_K0,3515978486.5569463,3508912000.102414,4923857938.484608,4589162744.596364
0.6,0.5,0.1,1000.0,T5_HUMAN_K1,1499447181.6533666,1499415514.0995655,1499470810.463402,1602489617.0095103
0.6,0.5,0.1,1000.0,T5_HUMAN_K2,185146.4566489972,174595.53634121973,200868.42679579637,216677.8291940777
0.6,0.5,0.1,1000.0,T5_HUMAN_K3,213698.6929549716,201244.77538835423,227208.29422508663,244978.2963410309
0.6,0.5,0.1,5000.0,T1_LINEAR,3972372357.111558,3508625052.622132,3992018557.5452185,4811164386.231206
0.6,0.5,0.1,5000.0,T2_VALIDATOR,149432.0567823933,139752.89578765212,162466.4358949373,168261.63592792017
0.6,0.5,0.1,5000.0,T3_SUPERVISOR,137494.81014724905,128591.7589199194,146758.94372459486,151602.32400450256
0.6,0.5,0.1,5000.0,T4_CRITIC,91548779.5696087,91517673.97022246,91559249.2163359,97666779.99657083
0.6,0.5,0.1,5000.0,T5_HUMAN_K0,3516002566.5569463,3510510585.0068707,4923882244.902789,4589190211.263031
0.6,0.5,0.1,5000.0,T5_HUMAN_K1,1499469363.1759765,1499438066.4992104,1499504057.2304645,1602516989.6976972
0.6,0.5,0.1,5000.0,T5_HUMAN_K2,212553.2352843798,199304.74641525326,240848.2118900704,249330.98135883812
0.6,0.5,0.1,5000.0,T5_HUMAN_K3,244274.31011523594,228487.02905999168,253402.55600548317,272998.65426523436
0.6,0.5,0.1,10000.0,T1_LINEAR,3972387357.111558,3508645052.847682,3984895660.757689,4811199386.231206
0.6,0.5,0.1,10000.0,T2_VALIDATOR,195281.9799456616,184735.2089902009,217484.82611351262,223395.80642777914
0.6,0.5,0.1,10000.0,T3_SUPERVISOR,182499.42424120917,172424.93084816317,197807.66838810974,204049.86461280967
0.6,0.5,0.1,10000.0,T4_CRITIC,91576296.72605738,91547003.63931218,91599128.14580256,97704446.6632375
0.6,0.5,0.1,10000.0,T5_HUMAN_K0,3516032575.7501984,3508992794.7809486,4923912226.342076,4589224544.596364
0.6,0.5,0.1,10000.0,T5_HUMAN_K1,1499510533.9949389,1499472988.9361522,1499551861.4511666,1602552067.3032668
0.6,0.5,0.1,10000.0,T5_HUMAN_K2,259123.2602464515,233548.10852067522,281186.9711251338,293177.89477243304
0.6,0.5,0.1,10000.0,T5_HUMAN_K3,285955.308669985,268164.88076585275,291621.6383732024,312304.57691448485
0.6,1.0,0.01,1000.0,T1_LINEAR,496324569.3327997,402398576.45504,684913880.5524836,661563249.9479042
0.6,1.0,0.01,1000.0,T2_VALIDATOR,28207.01373888349,26816.28720577624,29531.011376383565,30664.226345308256
0.6,1.0,0.01,1000.0,T3_SUPERVISOR,28954.55473070048,26911.103015146295,30605.606895483827,31006.71665914554
0.6,1.0,0.01,1000.0,T4_CRITIC,9172559.876811039,9168815.938334271,9218383.095359346,15870640.12921413
0.6,1.0,0.01,1000.0,T5_HUMAN_K0,492398325.3020639,397275306.4299025,500813198.9386549,579800626.9576929
0.6,1.0,0.01,1000.0,T5_HUMAN_K1,151485074.0500158,149995433.64149165,151491720.66173372,210851073.46599856
0.6,1.0,0.01,1000.0,T5_HUMAN_K2,38739.03072693546,36601.04177773339,39717.56376362422,41854.01645079617
