lob,grcode,fault,detected,duplicate_check,nonnegative_check,development_check,completeness_check,extreme_increment_check
comauto,2623,duplicate_key,True,True,False,False,False,False
comauto,2623,negative_paid,True,False,True,False,False,False
comauto,2623,development_mismatch,True,False,False,True,False,False
comauto,2623,missing_cell,True,False,False,False,True,False
comauto,2623,unit_x1000,False,False,False,False,False,False
comauto,1767,duplicate_key,True,True,False,False,False,False
comauto,1767,negative_paid,True,False,True,False,False,False
comauto,1767,development_mismatch,True,False,False,True,False,False
comauto,1767,missing_cell,True,False,False,False,True,False
comauto,1767,unit_x1000,False,False,False,False,False,False
comauto,388,duplicate_key,True,True,False,False,False,False
comauto,388,negative_paid,True,False,True,False,False,False
comauto,388,development_mismatch,True,False,False,True,False,False
comauto,388,missing_cell,True,False,False,False,True,False
comauto,388,unit_x1000,True,False,False,False,False,True
comauto,2135,duplicate_key,True,True,False,False,False,False
comauto,2135,negative_paid,True,False,True,False,False,False
comauto,2135,development_mismatch,True,False,False,True,False,False
comauto,2135,missing_cell,True,False,False,False,True,False
comauto,2135,unit_x1000,False,False,False,False,False,False
comauto,620,duplicate_key,True,True,False,False,False,False
comauto,620,negative_paid,True,False,True,False,False,False
comauto,620,development_mismatch,True,False,False,True,False,False
comauto,620,missing_cell,True,False,False,False,True,False
comauto,620,unit_x1000,False,False,False,False,False,False
comauto,6777,duplicate_key,True,True,False,False,False,False
comauto,6777,negative_paid,True,False,True,False,False,False
comauto,6777,development_mismatch,True,False,False,True,False,False
comauto,6777,missing_cell,True,False,False,False,True,False
comauto,6777,unit_x1000,False,False,False,False,False,False
comauto,26433,duplicate_key,True,True,False,False,False,False
comauto,26433,negative_paid,True,False,True,False,False,False
comauto,26433,development_mismatch,True,False,False,True,False,False
comauto,26433,missing_cell,True,False,False,False,True,False
comauto,26433,unit_x1000,False,False,False,False,False,False
comauto,2712,duplicate_key,True,True,False,False,False,False
comauto,2712,negative_paid,True,False,True,False,False,False
comauto,2712,development_mismatch,True,False,False,True,False,False
comauto,2712,missing_cell,True,False,False,False,True,False
comauto,2712,unit_x1000,False,False,False,False,False,False
comauto,26077,duplicate_key,True,True,False,False,False,False
comauto,26077,negative_paid,True,False,True,False,False,False
comauto,26077,development_mismatch,True,False,False,True,False,False
comauto,26077,missing_cell,True,False,False,False,True,False
comauto,26077,unit_x1000,False,False,False,False,False,False
comauto,7080,duplicate_key,True,True,False,False,False,False
comauto,7080,negative_paid,True,False,True,False,False,False
comauto,7080,development_mismatch,True,False,False,True,False,False
comauto,7080,missing_cell,True,False,False,False,True,False
comauto,7080,unit_x1000,False,False,False,False,False,False
comauto,11150,duplicate_key,True,True,True,False,False,False
comauto,11150,negative_paid,True,False,True,False,False,False
comauto,11150,development_mismatch,True,False,True,True,False,False
comauto,11150,missing_cell,True,False,True,False,True,False
comauto,11150,unit_x1000,True,False,True,False,False,False
comauto,28886,duplicate_key,True,True,False,False,False,False
comauto,28886,negative_paid,True,False,True,False,False,False
comauto,28886,development_mismatch,True,False,False,True,False,False
comauto,28886,missing_cell,True,False,False,False,True,False
comauto,28886,unit_x1000,False,False,False,False,False,False
comauto,26905,duplicate_key,True,True,False,False,False,False
comauto,26905,negative_paid,True,False,True,False,False,False
comauto,26905,development_mismatch,True,False,False,True,False,False
comauto,26905,missing_cell,True,False,False,False,True,False
comauto,26905,unit_x1000,False,False,False,False,False,False
comauto,9466,duplicate_key,True,True,False,False,False,False
comauto,9466,negative_paid,True,False,True,False,False,False
comauto,9466,development_mismatch,True,False,False,True,False,False
comauto,9466,missing_cell,True,False,False,False,True,False
comauto,9466,unit_x1000,True,False,False,False,False,True
comauto,11126,duplicate_key,True,True,False,False,False,False
comauto,11126,negative_paid,True,False,True,False,False,False
comauto,11126,development_mismatch,True,False,False,True,False,False
comauto,11126,missing_cell,True,False,False,False,True,False
comauto,11126,unit_x1000,False,False,False,False,False,False
comauto,11231,duplicate_key,True,True,False,False,False,False
comauto,11231,negative_paid,True,False,True,False,False,False
comauto,11231,development_mismatch,True,False,False,True,False,False
comauto,11231,missing_cell,True,False,False,False,True,False
comauto,11231,unit_x1000,False,False,False,False,False,False
comauto,21172,duplicate_key,True,True,False,False,False,False
comauto,21172,negative_paid,True,False,True,False,False,False
comauto,21172,development_mismatch,True,False,False,True,False,False
comauto,21172,missing_cell,True,False,False,False,True,False
comauto,21172,unit_x1000,False,False,False,False,False,False
comauto,715,duplicate_key,True,True,False,False,False,False
comauto,715,negative_paid,True,False,True,False,False,False
comauto,715,development_mismatch,True,False,False,True,False,False
comauto,715,missing_cell,True,False,False,False,True,False
comauto,715,unit_x1000,True,False,False,False,False,True
comauto,8672,duplicate_key,True,True,False,False,False,False
comauto,8672,negative_paid,True,False,True,False,False,False
comauto,8672,development_mismatch,True,False,False,True,False,False
comauto,8672,missing_cell,True,False,False,False,True,False
comauto,8672,unit_x1000,False,False,False,False,False,False
comauto,8079,duplicate_key,True,True,False,False,False,False
comauto,8079,negative_paid,True,False,True,False,False,False
comauto,8079,development_mismatch,True,False,False,True,False,False
comauto,8079,missing_cell,True,False,False,False,True,False
comauto,8079,unit_x1000,False,False,False,False,False,False
comauto,4839,duplicate_key,True,True,False,False,False,False
comauto,4839,negative_paid,True,False,True,False,False,False
comauto,4839,development_mismatch,True,False,False,True,False,False
comauto,4839,missing_cell,True,False,False,False,True,False
comauto,4839,unit_x1000,False,False,False,False,False,False
comauto,35408,duplicate_key,True,True,False,False,False,False
