detection_scale,topology,fault_runs,detection_rate,detection_ci_low,detection_ci_high,unresolved_failure_rate,unresolved_ci_low,unresolved_ci_high
0.6,T1_LINEAR,120,0.05,0.0,0.1,0.55,0.49166666666666664,0.5916666666666667
0.6,T2_VALIDATOR,120,0.8916666666666667,0.8416666666666667,0.9333333333333333,0.05,0.025,0.06666666666666667
0.6,T3_SUPERVISOR,120,0.8833333333333333,0.8333333333333334,0.9333333333333333,0.041666666666666664,0.008333333333333333,0.075
0.6,T4_CRITIC,120,0.6083333333333333,0.48333333333333334,0.7333333333333333,0.23333333333333334,0.14166666666666666,0.325
0.6,T5_HUMAN_K0,120,0.016666666666666666,0.0,0.03333333333333333,0.5916666666666667,0.575,0.6
0.6,T5_HUMAN_K1,120,0.44166666666666665,0.3416666666666667,0.5416666666666666,0.31666666666666665,0.23312500000000003,0.39166666666666666
0.6,T5_HUMAN_K2,120,0.5583333333333333,0.43333333333333335,0.6833333333333333,0.225,0.125,0.31666666666666665
0.6,T5_HUMAN_K3,120,0.6166666666666667,0.55,0.6916666666666667,0.21666666666666667,0.15,0.275
0.8,T1_LINEAR,120,0.058333333333333334,0.0,0.125,0.5416666666666666,0.4666666666666667,0.5916666666666667
0.8,T2_VALIDATOR,120,0.925,0.9,0.95,0.025,0.008333333333333333,0.05
0.8,T3_SUPERVISOR,120,0.9166666666666666,0.8583333333333333,0.9583333333333334,0.03333333333333333,0.008125000000000012,0.075
0.8,T4_CRITIC,120,0.7416666666666667,0.6666666666666666,0.825,0.13333333333333333,0.075,0.19166666666666668
0.8,T5_HUMAN_K0,120,0.016666666666666666,0.0,0.03333333333333333,0.5916666666666667,0.575,0.6
0.8,T5_HUMAN_K1,120,0.5833333333333334,0.45,0.7085416666666665,0.23333333333333334,0.125,0.3333333333333333
0.8,T5_HUMAN_K2,120,0.6333333333333333,0.49166666666666664,0.7583333333333333,0.175,0.08333333333333333,0.2833333333333333
0.8,T5_HUMAN_K3,120,0.75,0.6916666666666667,0.8,0.10833333333333334,0.05,0.16666666666666666
1.0,T1_LINEAR,120,0.09166666666666666,0.016666666666666666,0.16666666666666666,0.5166666666666667,0.44166666666666665,0.5833333333333334
1.0,T2_VALIDATOR,120,0.9666666666666667,0.9416666666666667,0.9916666666666667,0.008333333333333333,0.0,0.025
1.0,T3_SUPERVISOR,120,0.9583333333333334,0.9083333333333333,1.0,0.016666666666666666,0.0,0.05
1.0,T4_CRITIC,120,0.8,0.7416666666666667,0.8583333333333333,0.075,0.025,0.13333333333333333
1.0,T5_HUMAN_K0,120,0.03333333333333333,0.008333333333333333,0.06666666666666667,0.5833333333333334,0.5583333333333333,0.6
1.0,T5_HUMAN_K1,120,0.6916666666666667,0.6,0.7833333333333333,0.14166666666666666,0.06666666666666667,0.2
1.0,T5_HUMAN_K2,120,0.8,0.75,0.85,0.05,0.008333333333333333,0.1
1.0,T5_HUMAN_K3,120,0.8166666666666667,0.7833333333333333,0.85,0.05,0.016666666666666666,0.08333333333333333
1.2,T1_LINEAR,120,0.1,0.03333333333333333,0.175,0.5083333333333333,0.43333333333333335,0.5666666666666667
1.2,T2_VALIDATOR,120,0.975,0.95,0.9916666666666667,0.008333333333333333,0.0,0.025
1.2,T3_SUPERVISOR,120,0.9916666666666667,0.975,1.0,0.008333333333333333,0.0,0.025
1.2,T4_CRITIC,120,0.825,0.7666666666666667,0.875,0.06666666666666667,0.016666666666666666,0.13333333333333333
1.2,T5_HUMAN_K0,120,0.03333333333333333,0.008333333333333333,0.06666666666666667,0.5833333333333334,0.5583333333333333,0.6
1.2,T5_HUMAN_K1,120,0.7916666666666666,0.7166666666666667,0.8416666666666667,0.075,0.0,0.15
1.2,T5_HUMAN_K2,120,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.0,0.0,0.0
1.2,T5_HUMAN_K3,120,0.8416666666666667,0.8166666666666667,0.8666666666666667,0.025,0.0,0.05
1.4,T1_LINEAR,120,0.1,0.03333333333333333,0.175,0.5083333333333333,0.43333333333333335,0.5666666666666667
1.4,T2_VALIDATOR,120,1.0,1.0,1.0,0.0,0.0,0.0
1.4,T3_SUPERVISOR,120,1.0,1.0,1.0,0.0,0.0,0.0
1.4,T4_CRITIC,120,0.8833333333333333,0.85,0.9166666666666666,0.008333333333333333,0.0,0.025
1.4,T5_HUMAN_K0,120,0.041666666666666664,0.016666666666666666,0.075,0.5833333333333334,0.5583333333333333,0.6
1.4,T5_HUMAN_K1,120,0.8416666666666667,0.7916666666666666,0.8666666666666667,0.025,0.0,0.075
1.4,T5_HUMAN_K2,120,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.0,0.0,0.0
1.4,T5_HUMAN_K3,120,0.8583333333333333,0.8416666666666667,0.8666666666666667,0.008333333333333333,0.0,0.025
