replication,topology,parameter,truth,estimate,ci_05,ci_95,ci_025,ci_975,covered_90,covered_95
0,T1_LINEAR,E_to_E,0.93,0.8896275212378807,0.8185891456481306,0.9477689590616906,0.798756795045661,0.9545145452311519,True,True
0,T2_VALIDATOR,E_to_E,0.2,0.13536465498627354,0.07117016076650298,0.21122811247626141,0.06226029420081018,0.22882171335743776,True,True
1,T1_LINEAR,E_to_E,0.93,0.9216507297078605,0.8597154758729114,0.9701041977648439,0.8428018002070186,0.9752046645252175,True,True
1,T2_VALIDATOR,E_to_E,0.2,0.18296931824926754,0.10739849122005278,0.2739414896004121,0.09632891788327907,0.2929120212525693,True,True
2,T1_LINEAR,E_to_E,0.93,0.889105272128966,0.8167434707592693,0.9466237253720452,0.7994845576147958,0.954629647156893,True,True
2,T2_VALIDATOR,E_to_E,0.2,0.18577281202058546,0.1105807838327726,0.2730487773032533,0.0994311849201875,0.2908142153766405,True,True
3,T1_LINEAR,E_to_E,0.93,0.9229360124560327,0.860206697001757,0.9703713877760874,0.8477146372093266,0.9754798839186105,True,True
3,T2_VALIDATOR,E_to_E,0.2,0.26757299440818144,0.1781910097584263,0.371374054867381,0.16418377877173032,0.390448967926035,True,True
4,T1_LINEAR,E_to_E,0.93,0.9876810127615192,0.9598752184934926,0.9997123660872931,0.9495191737225505,0.9998806418592067,False,False
4,T2_VALIDATOR,E_to_E,0.2,0.16629817984494627,0.093774568509659,0.24894658946797552,0.08072926427122487,0.2691471061231343,True,True
5,T1_LINEAR,E_to_E,0.93,0.9075421407914716,0.8377471834874614,0.9583015497585977,0.820452911544802,0.9671049879436618,True,True
5,T2_VALIDATOR,E_to_E,0.2,0.18247251410842694,0.10851015140935666,0.26804713134773683,0.09779434329321858,0.2886845036561953,True,True
6,T1_LINEAR,E_to_E,0.93,0.9213149861266489,0.8572040814355933,0.9693771221668946,0.8418906548539282,0.9757883943781326,True,True
6,T2_VALIDATOR,E_to_E,0.2,0.23388947396119447,0.15120092397207194,0.32841948503788043,0.1373402687072812,0.348889517116093,True,True
7,T1_LINEAR,E_to_E,0.93,0.9225462901559371,0.8587656297144648,0.9689708788377015,0.8409541522640408,0.9734915699036257,True,True
7,T2_VALIDATOR,E_to_E,0.2,0.18504539854056934,0.10849689300974073,0.2746403689343028,0.09688407666106576,0.2950422221067832,True,True
8,T1_LINEAR,E_to_E,0.93,0.8897401420423195,0.818831390642884,0.9461984828565536,0.8055606694999018,0.9533401616662578,True,True
8,T2_VALIDATOR,E_to_E,0.2,0.2524107387610176,0.16415122203688107,0.3487633718156284,0.1495515628112115,0.3687015852026226,True,True
9,T1_LINEAR,E_to_E,0.93,0.9713745511907156,0.9303987279228937,0.9953060372118095,0.9189457634179996,0.9969834807781337,False,True
9,T2_VALIDATOR,E_to_E,0.2,0.2689768087511734,0.1811652334503808,0.36654882515898113,0.16519117494956495,0.3846854569093844,True,True
10,T1_LINEAR,E_to_E,0.93,0.9543257642544564,0.9039071242771272,0.9885724054877252,0.8906104997678622,0.9911862841388546,True,True
