stage,fault_type,topology,n,posterior_mean_increment,ci_05,ci_95,predictive_scale,degrees_freedom
S2_RECONCILE,F1_DATA,T1_LINEAR,8,0.7359388168704489,-1.9064561370847612,3.378333770825659,4.917182181079104,12.0
S2_RECONCILE,F1_DATA,T4_CRITIC,4,1.3523477016178012,-2.9586447188475233,5.663340122083125,6.133648401780602,8.0
S2_RECONCILE,F1_DATA,T5_HUMAN_K0,8,0.7391370492578867,-1.9030164662351168,3.3812905647508895,4.916732892867131,12.0
S2_RECONCILE,F1_DATA,T5_HUMAN_K1,6,1.0142607762133509,-2.2577225668665006,4.286244119293202,5.415812734240636,10.0
S2_RECONCILE,F1_DATA,T5_HUMAN_K3,1,2.7046954032356023,-5.472262525222675,10.881653331693878,8.115892438783538,5.0
S2_RECONCILE,F6_CONTEXT,T1_LINEAR,8,23.784382446002944,18.118906867595598,29.44985802441029,10.542775038146566,12.0
S2_RECONCILE,F6_CONTEXT,T2_VALIDATOR,1,2.7046954032356023,-5.472262525222675,10.881653331693878,8.115892438783538,5.0
S2_RECONCILE,F6_CONTEXT,T3_SUPERVISOR,2,2.0285215524267017,-4.274226519301433,8.331269624154833,7.2527357727726915,6.0
S2_RECONCILE,F6_CONTEXT,T4_CRITIC,6,4.618504255375425,-1.5601739167847715,10.79718242753562,10.226997028066227,10.0
S2_RECONCILE,F6_CONTEXT,T5_HUMAN_K0,7,23.22331962519253,17.012109395985988,29.43452985439907,10.936988355747125,11.0
S2_RECONCILE,F6_CONTEXT,T5_HUMAN_K1,8,6.553972321406954,0.2767894451065409,12.831155197707368,11.681089437639937,12.0
S2_RECONCILE,F6_CONTEXT,T5_HUMAN_K2,2,9.297830456296909,-1.6990153826672145,20.294676295261027,12.65435589305622,6.0
S2_RECONCILE,F6_CONTEXT,T5_HUMAN_K3,3,1.6228172419413613,-3.4988800429565243,6.744514526839246,6.6218128565860255,7.0
S2_RECONCILE,F7_ADVERSARIAL,T1_LINEAR,6,1.0142607762133509,-2.2577225668665006,4.286244119293202,5.415812734240636,10.0
S2_RECONCILE,F7_ADVERSARIAL,T3_SUPERVISOR,1,2.7046954032356023,-5.472262525222675,10.881653331693878,8.115892438783538,5.0
S2_RECONCILE,F7_ADVERSARIAL,T4_CRITIC,7,0.9015651344118675,-2.0179351788743496,3.8210654476980834,5.140792172975676,11.0
S2_RECONCILE,F7_ADVERSARIAL,T5_HUMAN_K0,8,0.8114086209706807,-1.8239583489091906,3.4467755908505517,4.904103940064287,12.0
S2_RECONCILE,F7_ADVERSARIAL,T5_HUMAN_K1,8,0.8114086209706807,-1.8239583489091906,3.4467755908505517,4.904103940064287,12.0
S2_RECONCILE,F7_ADVERSARIAL,T5_HUMAN_K2,2,2.0285215524267017,-4.274226519301433,8.331269624154833,7.2527357727726915,6.0
S2_RECONCILE,F7_ADVERSARIAL,T5_HUMAN_K3,2,2.0285215524267017,-4.274226519301433,8.331269624154833,7.2527357727726915,6.0
S3_SEGMENT,F1_DATA,T1_LINEAR,8,0.8114086209706807,-1.8239583489091906,3.4467755908505517,4.904103940064287,12.0
S3_SEGMENT,F1_DATA,T4_CRITIC,2,2.0285215524267017,-4.274226519301433,8.331269624154833,7.2527357727726915,6.0
S3_SEGMENT,F1_DATA,T5_HUMAN_K0,8,0.8114086209706807,-1.8239583489091906,3.4467755908505517,4.904103940064287,12.0
S3_SEGMENT,F1_DATA,T5_HUMAN_K1,6,1.0142607762133509,-2.2577225668665006,4.286244119293202,5.415812734240636,10.0
S3_SEGMENT,F2_SEMANTIC,T1_LINEAR,8,0.8114086209706807,-1.8239583489091906,3.4467755908505517,4.904103940064287,12.0
S3_SEGMENT,F2_SEMANTIC,T3_SUPERVISOR,1,2.7046954032356023,-5.472262525222675,10.881653331693878,8.115892438783538,5.0
S3_SEGMENT,F2_SEMANTIC,T4_CRITIC,5,1.159155172815258,-2.561547030901325,4.879857376531841,5.740909274392436,9.0
S3_SEGMENT,F2_SEMANTIC,T5_HUMAN_K0,8,0.8114086209706807,-1.8239583489091906,3.4467755908505517,4.904103940064287,12.0
S3_SEGMENT,F2_SEMANTIC,T5_HUMAN_K1,7,0.9015651344118675,-2.0179351788743496,3.8210654476980834,5.140792172975676,11.0
S3_SEGMENT,F2_SEMANTIC,T5_HUMAN_K3,1,2.7046954032356023,-5.472262525222675,10.881653331693878,8.115892438783538,5.0
S3_SEGMENT,F6_CONTEXT,T1_LINEAR,16,0.45078256720593374,-1.0297885565010145,1.9313536909128817,3.7418633063414806,20.0
S3_SEGMENT,F6_CONTEXT,T2_VALIDATOR,4,1.3523477016178012,-2.9586447188475233,5.663340122083125,6.133648401780602,8.0
S3_SEGMENT,F6_CONTEXT,T3_SUPERVISOR,2,2.0285215524267017,-4.274226519301433,8.331269624154833,7.2527357727726915,6.0
S3_SEGMENT,F6_CONTEXT,T4_CRITIC,10,0.6761738508089006,-1.529500695689197,2.8818483973069977,4.515202923581588,14.0
S3_SEGMENT,F6_CONTEXT,T5_HUMAN_K0,15,0.47729918880628275,-1.0891390494113529,2.0437374270239177,3.8434494788600353,19.0
S3_SEGMENT,F6_CONTEXT,T5_HUMAN_K1,16,0.45078256720593374,-1.0297885565010145,1.9313536909128817,3.7418633063414806,20.0
S3_SEGMENT,F6_CONTEXT,T5_HUMAN_K2,4,1.3523477016178012,-2.9586447188475233,5.663340122083125,6.133648401780602,8.0
S3_SEGMENT,F6_CONTEXT,T5_HUMAN_K3,6,1.0142607762133509,-2.2577225668665006,4.286244119293202,5.415812734240636,10.0
S3_SEGMENT,F7_ADVERSARIAL,T1_LINEAR,13,0.5409390806471205,-1.2309794516915953,2.3128576129858356,4.074296806926115,17.0
S3_SEGMENT,F7_ADVERSARIAL,T2_VALIDATOR,1,2.7046954032356023,-5.472262525222675,10.881653331693878,8.115892438783538,5.0
S3_SEGMENT,F7_ADVERSARIAL,T3_SUPERVISOR,2,2.0285215524267017,-4.274226519301433,8.331269624154833,7.2527357727726915,6.0
S3_SEGMENT,F7_ADVERSARIAL,T4_CRITIC,15,0.47729918880628275,-1.0891390494113529,2.0437374270239177,3.8434494788600353,19.0
S3_SEGMENT,F7_ADVERSARIAL,T5_HUMAN_K0,16,0.45078256720593374,-1.0297885565010145,1.9313536909128817,3.7418633063414806,20.0
S3_SEGMENT,F7_ADVERSARIAL,T5_HUMAN_K1,16,0.45078256720593374,-1.0297885565010145,1.9313536909128817,3.7418633063414806,20.0
S3_SEGMENT,F7_ADVERSARIAL,T5_HUMAN_K2,4,1.3523477016178012,-2.9586447188475233,5.663340122083125,6.133648401780602,8.0
S3_SEGMENT,F7_ADVERSARIAL,T5_HUMAN_K3,4,1.3523477016178012,-2.9586447188475233,5.663340122083125,6.133648401780602,8.0
S4_MODEL,F1_DATA,T1_LINEAR,8,2.561296840116642,-0.11417704424967257,5.236770724482956,4.978738129383944,12.0
S4_MODEL,F1_DATA,T5_HUMAN_K0,8,2.0904579840702127,-0.583696434290653,4.764612402431077,4.976282760355623,12.0
S4_MODEL,F1_DATA,T5_HUMAN_K1,6,1.0142607762133509,-2.2577225668665006,4.286244119293202,5.415812734240636,10.0
S4_MODEL,F2_SEMANTIC,T1_LINEAR,7,26.07546011592118,19.09662093622287,33.05429929561949,12.288665176084821,11.0
S4_MODEL,F2_SEMANTIC,T3_SUPERVISOR,1,2.7046954032356023,-5.472262525222675,10.881653331693878,8.115892438783538,5.0
S4_MODEL,F2_SEMANTIC,T4_CRITIC,1,13.653759318899501,-0.9569637082175717,28.26448234601657,14.501610204969886,5.0
S4_MODEL,F2_SEMANTIC,T5_HUMAN_K0,8,23.60014507532858,16.087639012715925,31.112651137941235,13.979878704746364,12.0
S4_MODEL,F2_SEMANTIC,T5_HUMAN_K1,7,4.628680152897468,-1.6272527623139972,10.88461306810893,11.015738144922441,11.0
S4_MODEL,F3_TOOL,T1_LINEAR,8,24.40495117000253,16.655205311414193,32.15469702859087,14.421353699114004,12.0
S4_MODEL,F3_TOOL,T5_HUMAN_K0,8,27.727243361138495,21.137193004096254,34.317293718180736,12.263298542694447,12.0
S4_MODEL,F3_TOOL,T5_HUMAN_K1,8,0.8114086209706807,-1.8239583489091906,3.4467755908505517,4.904103940064287,12.0
S4_MODEL,F3_TOOL,T5_HUMAN_K2,8,0.8114086209706807,-1.8239583489091906,3.4467755908505517,4.904103940064287,12.0
S4_MODEL,F6_CONTEXT,T1_LINEAR,16,0.94821503924793,-0.5499279074819565,2.446357985977816,3.786272763436953,20.0
S4_MODEL,F6_CONTEXT,T2_VALIDATOR,2,2.0285215524267017,-4.274226519301433,8.331269624154833,7.2527357727726915,6.0
S4_MODEL,F6_CONTEXT,T4_CRITIC,4,1.5598935672100842,-2.727209910399151,5.846997044819318,6.099659389071165,8.0
S4_MODEL,F6_CONTEXT,T5_HUMAN_K0,15,0.967366653510935,-0.6179780076267231,2.5527113146485925,3.889838720099288,19.0
S4_MODEL,F6_CONTEXT,T5_HUMAN_K1,16,0.6501686012752373,-0.8301410957596663,2.1304782983101407,3.7412025999047827,20.0
S4_MODEL,F6_CONTEXT,T5_HUMAN_K2,4,1.784493283924454,-2.486441687993242,6.055428255842149,6.07665495774271,8.0
S4_MODEL,F6_CONTEXT,T5_HUMAN_K3,2,2.0285215524267017,-4.274226519301433,8.331269624154833,7.2527357727726915,6.0
S4_MODEL,F7_ADVERSARIAL,T1_LINEAR,18,0.40570431048534034,-0.9285604761561368,1.7399690971268174,3.560777691803283,22.0
S4_MODEL,F7_ADVERSARIAL,T4_CRITIC,20,0.3688221004412185,-0.8454307941992987,1.5830749950817353,3.403713428162735,24.0
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K0,24,0.3120802388348772,-0.7170105005269074,1.3411709781966614,3.1433866910586494,28.0
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K1,24,0.3120802388348772,-0.7170105005269074,1.3411709781966614,3.1433866910586494,28.0
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K2,12,0.579577586407629,-1.3166767026789468,2.475831875494204,4.20655819262304,16.0
S4_MODEL,F7_ADVERSARIAL,T5_HUMAN_K3,1,2.7046954032356023,-5.472262525222675,10.881653331693878,8.115892438783538,5.0
S5_SELECT,F1_DATA,T1_LINEAR,16,0.32317430345802606,-1.1651414061772394,1.8114900130932912,3.761436281556222,20.0
S5_SELECT,F1_DATA,T5_HUMAN_K0,14,0.40192342552286264,-1.2677029794971042,2.071549830542829,3.9698924520108125,18.0
S5_SELECT,F2_SEMANTIC,T1_LINEAR,7,0.7360726122686658,-2.206222313719615,3.6783675382569454,5.180929989036699,11.0
S5_SELECT,F2_SEMANTIC,T4_CRITIC,1,2.5572037409643045,-5.661426673998477,10.775834155927084,8.157253715322597,5.0
S5_SELECT,F2_SEMANTIC,T5_HUMAN_K0,7,0.6490983679275016,-2.302099686705169,3.600296422560171,5.1966070327560585,11.0
S5_SELECT,F2_SEMANTIC,T5_HUMAN_K1,1,2.5178636305426987,-5.712571585608158,10.748298846693555,8.168970358301792,5.0
S5_SELECT,F3_TOOL,T1_LINEAR,16,0.12880842040501556,-1.3680923082612029,1.6257091490712334,3.7831332923798127,20.0
S5_SELECT,F3_TOOL,T5_HUMAN_K0,16,0.09548383272475006,-1.402284517831734,1.5932521832812336,3.785326042503722,20.0
S5_SELECT,F6_CONTEXT,T1_LINEAR,16,0.3737143326536097,-1.112064155757961,1.8594928210651798,3.7550239351008594,20.0
S5_SELECT,F6_CONTEXT,T2_VALIDATOR,1,2.7046954032356023,-5.472262525222675,10.881653331693878,8.115892438783538,5.0
S5_SELECT,F6_CONTEXT,T4_CRITIC,2,1.9589338604278166,-4.358134439894586,8.276002160750219,7.269214431449505,6.0
S5_SELECT,F6_CONTEXT,T5_HUMAN_K0,15,0.4038843159860438,-1.1678811597201015,1.9756497916921885,3.856520513293077,19.0
S5_SELECT,F6_CONTEXT,T5_HUMAN_K1,4,1.2360550595140234,-3.0910624373109545,5.563172556339,6.156591042174134,8.0
S5_SELECT,F6_CONTEXT,T5_HUMAN_K2,2,1.9602152245493705,-4.356585321389256,8.277015770487994,7.268906319531427,6.0
S5_SELECT,F7_ADVERSARIAL,T1_LINEAR,18,0.40570431048534034,-0.9285604761561368,1.7399690971268174,3.560777691803283,22.0
