stage,fault_type,topology,state_before,state_after,posterior_mean,ci_05,ci_95,cell_n
S1_INGEST,CONTROL,T1_LINEAR,C,C,0.8541559553384953,0.6935515469239953,0.9654735922088404,8.0
S1_INGEST,CONTROL,T1_LINEAR,C,E,0.08110770954286273,0.00845883035498765,0.20734029984735558,8.0
S1_INGEST,CONTROL,T1_LINEAR,C,R,0.04897774506958777,0.0018582996421190226,0.15667277602872762,8.0
S1_INGEST,CONTROL,T1_LINEAR,C,H,0.015758590049054146,3.1086641200671934e-07,0.07533688683763204,8.0
S1_INGEST,CONTROL,T2_VALIDATOR,C,C,0.854483473103141,0.6898441601106571,0.9632847369800852,8.0
S1_INGEST,CONTROL,T2_VALIDATOR,C,E,0.0811599656009655,0.008361489591127935,0.20379967450641154,8.0
S1_INGEST,CONTROL,T2_VALIDATOR,C,R,0.04936060827668614,0.0015101758288673189,0.1548687498129054,8.0
S1_INGEST,CONTROL,T2_VALIDATOR,C,H,0.014995953019207251,1.7503633722939279e-07,0.07380600909925833,8.0
S1_INGEST,CONTROL,T3_SUPERVISOR,C,C,0.84988862163404,0.6806334352433138,0.9647004360260402,8.0
S1_INGEST,CONTROL,T3_SUPERVISOR,C,E,0.08403195471443319,0.00841602564066807,0.21610285561167583,8.0
S1_INGEST,CONTROL,T3_SUPERVISOR,C,R,0.05013260421665696,0.001300407869654645,0.15838481616208208,8.0
S1_INGEST,CONTROL,T3_SUPERVISOR,C,H,0.015946819434869943,1.9754023906712633e-07,0.07834558302032898,8.0
S1_INGEST,CONTROL,T4_CRITIC,C,C,0.8506904873649315,0.6898116773171687,0.9640518201483248,8.0
S1_INGEST,CONTROL,T4_CRITIC,C,E,0.08488982790435771,0.008651163608443712,0.22039117961643076,8.0
S1_INGEST,CONTROL,T4_CRITIC,C,R,0.049482227381080726,0.0015784030678117635,0.16078562066500846,8.0
S1_INGEST,CONTROL,T4_CRITIC,C,H,0.014937457349630265,1.879347680803051e-07,0.0715426427108925,8.0
S1_INGEST,CONTROL,T5_HUMAN_K0,C,C,0.8535696998929991,0.6945021623617057,0.9639196235223088,8.0
S1_INGEST,CONTROL,T5_HUMAN_K0,C,E,0.08237538305494611,0.008297261448780123,0.21256310483963028,8.0
S1_INGEST,CONTROL,T5_HUMAN_K0,C,R,0.04846181804120417,0.001672208672460481,0.1540836837996369,8.0
S1_INGEST,CONTROL,T5_HUMAN_K0,C,H,0.015593099010850542,1.985536386299555e-07,0.074778656340955,8.0
S1_INGEST,CONTROL,T5_HUMAN_K1,C,C,0.8518239981189214,0.6917986468940603,0.9655477809183588,8.0
S1_INGEST,CONTROL,T5_HUMAN_K1,C,E,0.08261867011974401,0.008153975917896366,0.21765231366641782,8.0
S1_INGEST,CONTROL,T5_HUMAN_K1,C,R,0.04962700903140029,0.0012470022934350494,0.161634915343779,8.0
S1_INGEST,CONTROL,T5_HUMAN_K1,C,H,0.015930322729934273,2.2984038379200644e-07,0.07618603450761985,8.0
S1_INGEST,CONTROL,T5_HUMAN_K2,C,C,0.8527193075841084,0.6897502167882488,0.9667167531410221,8.0
S1_INGEST,CONTROL,T5_HUMAN_K2,C,E,0.08181948158437063,0.008101366779265875,0.20924069575920198,8.0
S1_INGEST,CONTROL,T5_HUMAN_K2,C,R,0.05006175401590796,0.001524560186049215,0.1599322371168428,8.0
S1_INGEST,CONTROL,T5_HUMAN_K2,C,H,0.01539945681561307,2.691059788093432e-07,0.07384392390334352,8.0
