fault_type,topology,runs,detection_rate,silent_failure_rate,median_abs_delta,p95_abs_delta,median_amplification
F1_DATA,T1_LINEAR,24,0.0,0.9166666666666666,0.0,13566442247.227358,3.53382297462018
F1_DATA,T2_VALIDATOR,24,0.9166666666666666,0.08333333333333333,0.0,0.0,
F1_DATA,T3_SUPERVISOR,24,0.9583333333333334,0.041666666666666664,0.0,0.0,
F1_DATA,T4_CRITIC,24,0.7083333333333334,0.25,0.0,0.0,
F1_DATA,T5_HUMAN_K0,24,0.08333333333333333,0.8333333333333334,0.0,4794175290.149305,2.3846750616589727
F1_DATA,T5_HUMAN_K1,24,0.6666666666666666,0.2916666666666667,0.0,0.0,
F1_DATA,T5_HUMAN_K2,24,0.6666666666666666,0.2916666666666667,0.0,0.0,
F1_DATA,T5_HUMAN_K3,24,0.6666666666666666,0.2916666666666667,0.0,0.0,
F2_SEMANTIC,T1_LINEAR,8,0.125,0.75,111186.30937683373,320153.86748338107,
F2_SEMANTIC,T2_VALIDATOR,8,1.0,0.0,0.0,0.0,
F2_SEMANTIC,T3_SUPERVISOR,8,1.0,0.0,0.0,0.0,
F2_SEMANTIC,T4_CRITIC,8,0.875,0.125,0.0,76931.29325694006,
F2_SEMANTIC,T5_HUMAN_K0,8,0.125,0.75,111186.30937683373,320153.86748338107,
F2_SEMANTIC,T5_HUMAN_K1,8,0.875,0.0,0.0,137240.63106945774,
F2_SEMANTIC,T5_HUMAN_K2,8,1.0,0.0,0.0,0.0,
F2_SEMANTIC,T5_HUMAN_K3,8,1.0,0.0,0.0,0.0,
F3_TOOL,T1_LINEAR,32,0.125,0.78125,173818.68161229277,640456.9018302825,0.8606787038252007
F3_TOOL,T2_VALIDATOR,32,0.96875,0.0,0.0,0.0,
F3_TOOL,T3_SUPERVISOR,32,0.90625,0.09375,0.0,0.0,0.9999999999999993
F3_TOOL,T4_CRITIC,32,0.78125,0.21875,0.0,0.0,1.0
F3_TOOL,T5_HUMAN_K0,32,0.0,0.90625,198736.4363267417,640456.9018302825,0.8704382667144541
F3_TOOL,T5_HUMAN_K1,32,0.75,0.21875,0.0,0.0,
F3_TOOL,T5_HUMAN_K2,32,0.75,0.21875,0.0,0.0,
F3_TOOL,T5_HUMAN_K3,32,0.71875,0.25,0.0,0.0,0.9999999999999986
F4_REASONING,T1_LINEAR,8,0.0,1.0,275528.36367448,356478.95837482624,1.0
F4_REASONING,T2_VALIDATOR,8,0.875,0.125,0.0,179664.3286118014,0.9999999999999986
F4_REASONING,T3_SUPERVISOR,8,0.875,0.125,0.0,243010.2335974637,0.9999999999999993
F4_REASONING,T4_CRITIC,8,0.75,0.25,0.0,286982.91753173247,0.9999999999999998
F4_REASONING,T5_HUMAN_K0,8,0.0,1.0,275528.36367448,356478.95837482624,1.0
F4_REASONING,T5_HUMAN_K1,8,0.875,0.125,0.0,210727.63172938704,1.0
F4_REASONING,T5_HUMAN_K2,8,0.75,0.25,0.0,261245.85862859857,0.9999999999999993
F4_REASONING,T5_HUMAN_K3,8,0.5,0.5,116545.04288113862,314134.35153808095,1.0
F5_HANDOFF,T1_LINEAR,8,0.0,0.875,0.0,0.0,
F5_HANDOFF,T2_VALIDATOR,8,1.0,0.0,0.0,0.0,
F5_HANDOFF,T3_SUPERVISOR,8,1.0,0.0,0.0,0.0,
F5_HANDOFF,T4_CRITIC,8,1.0,0.0,0.0,0.0,
F5_HANDOFF,T5_HUMAN_K0,8,0.0,0.875,0.0,0.0,
F5_HANDOFF,T5_HUMAN_K1,8,1.0,0.0,0.0,0.0,
F5_HANDOFF,T5_HUMAN_K2,8,1.0,0.0,0.0,0.0,
F5_HANDOFF,T5_HUMAN_K3,8,1.0,0.0,0.0,0.0,
F6_CONTEXT,T1_LINEAR,16,0.0,0.75,4811.610593546298,13545.286008138675,0.3208816660116361
F6_CONTEXT,T2_VALIDATOR,16,1.0,0.0,0.0,0.0,
F6_CONTEXT,T3_SUPERVISOR,16,1.0,0.0,0.0,0.0,
F6_CONTEXT,T4_CRITIC,16,0.875,0.0,0.0,5399.945873785531,0.33833981491057236
F6_CONTEXT,T5_HUMAN_K0,16,0.0625,0.75,4223.2753133070655,13545.286008138675,0.3208816660116361
F6_CONTEXT,T5_HUMAN_K1,16,0.75,0.125,0.0,13545.286008138675,0.5758177194277447
F6_CONTEXT,T5_HUMAN_K2,16,0.875,0.125,0.0,13545.286008138675,0.8482119217427897
F6_CONTEXT,T5_HUMAN_K3,16,1.0,0.0,0.0,0.0,
F7_ADVERSARIAL,T1_LINEAR,24,0.25,0.75,904208.2519851811,1246206.3261408429,
F7_ADVERSARIAL,T2_VALIDATOR,24,1.0,0.0,0.0,0.0,
F7_ADVERSARIAL,T3_SUPERVISOR,24,1.0,0.0,0.0,0.0,
F7_ADVERSARIAL,T4_CRITIC,24,0.7916666666666666,0.20833333333333334,0.0,975305.3472003364,
F7_ADVERSARIAL,T5_HUMAN_K0,24,0.0,1.0,918427.878914933,1246206.3261408429,
F7_ADVERSARIAL,T5_HUMAN_K1,24,0.375,0.625,641186.1062532713,1246206.3261408429,
F7_ADVERSARIAL,T5_HUMAN_K2,24,0.8333333333333334,0.16666666666666666,0.0,904208.2519851811,
F7_ADVERSARIAL,T5_HUMAN_K3,24,0.9583333333333334,0.041666666666666664,0.0,0.0,
