topology,fault_type,observations,annual_lambda,threshold,tail_probability,gpd_shape,gpd_scale,mean_severity
T1_LINEAR,F1_DATA,24,1.7999999999999998,205477289.77798858,0.125,,,119117640.80797118
T1_LINEAR,F2_SEMANTIC,8,1.44,18072.68935308516,0.125,,,11107.889326721008
T1_LINEAR,F3_TOOL,32,1.2,30669.696412581827,0.125,,,15794.823673251383
T1_LINEAR,F4_REASONING,8,2.1599999999999997,21954.800945370018,0.125,,,18753.355574546633
T1_LINEAR,F5_HANDOFF,8,1.2,5000.0,0.0,,,5000.0
T1_LINEAR,F6_CONTEXT,16,0.96,5538.477069044381,0.125,,,5284.13565928105
T1_LINEAR,F7_ADVERSARIAL,24,0.36,64827.03924026696,0.125,,,39133.70188981426
T2_VALIDATOR,F1_DATA,24,1.7999999999999998,5000.0,0.0,,,5000.0
T2_VALIDATOR,F2_SEMANTIC,8,1.44,5000.0,0.0,,,5000.0
T2_VALIDATOR,F3_TOOL,32,1.2,5000.0,0.0,,,5000.0
T2_VALIDATOR,F4_REASONING,8,2.1599999999999997,9146.099891041573,0.125,,,6727.541621267323
T2_VALIDATOR,F5_HANDOFF,8,1.2,5000.0,0.0,,,5000.0
T2_VALIDATOR,F6_CONTEXT,16,0.96,5000.0,0.0,,,5000.0
T2_VALIDATOR,F7_ADVERSARIAL,24,0.36,5000.0,0.0,,,5000.0
T3_SUPERVISOR,F1_DATA,24,1.7999999999999998,5000.0,0.0,,,5000.0
T3_SUPERVISOR,F2_SEMANTIC,8,1.44,5000.0,0.0,,,5000.0
T3_SUPERVISOR,F3_TOOL,32,1.2,5000.0,0.03125,,,5584.159215378519
T3_SUPERVISOR,F4_REASONING,8,2.1599999999999997,10607.92846763378,0.125,,,7336.636861514076
T3_SUPERVISOR,F5_HANDOFF,8,1.2,5000.0,0.0,,,5000.0
T3_SUPERVISOR,F6_CONTEXT,16,0.96,5000.0,0.0,,,5000.0
T3_SUPERVISOR,F7_ADVERSARIAL,24,0.36,5000.0,0.0,,,5000.0
T4_CRITIC,F1_DATA,24,1.7999999999999998,5000.0,0.0,,,5000.0
T4_CRITIC,F2_SEMANTIC,8,1.44,6775.3375366986165,0.125,,,5739.723973624425
T4_CRITIC,F3_TOOL,32,1.2,5000.0,0.03125,,,5506.556807041796
T4_CRITIC,F4_REASONING,8,2.1599999999999997,18925.903209074135,0.125,,,8541.939040484604
T4_CRITIC,F5_HANDOFF,8,1.2,5000.0,0.0,,,5000.0
T4_CRITIC,F6_CONTEXT,16,0.96,5134.998646844639,0.125,,,5033.749661711159
T4_CRITIC,F7_ADVERSARIAL,24,0.36,51067.77656712864,0.08333333333333333,,,14861.913333140837
T5_HUMAN_K0,F1_DATA,24,1.7999999999999998,44617168.55420271,0.125,,,87880860.09837179
T5_HUMAN_K0,F2_SEMANTIC,8,1.44,18072.68935308516,0.125,,,11642.880958247624
T5_HUMAN_K0,F3_TOOL,32,1.2,30669.696412581827,0.125,,,16780.07829577601
T5_HUMAN_K0,F4_REASONING,8,2.1599999999999997,21954.800945370018,0.125,,,18753.355574546633
T5_HUMAN_K0,F5_HANDOFF,8,1.2,5000.0,0.0,,,5000.0
T5_HUMAN_K0,F6_CONTEXT,16,0.96,5538.477069044381,0.125,,,5267.260828425469
T5_HUMAN_K0,F7_ADVERSARIAL,24,0.36,64827.03924026696,0.125,,,50844.51858182213
T5_HUMAN_K1,F1_DATA,24,1.7999999999999998,5000.0,0.0,,,5000.0
T5_HUMAN_K1,F2_SEMANTIC,8,1.44,8167.091486218256,0.125,,,6319.621452590941
T5_HUMAN_K1,F3_TOOL,32,1.2,5000.0,0.0,,,5000.0
T5_HUMAN_K1,F4_REASONING,8,2.1599999999999997,9862.94534760124,0.125,,,7026.227228167185
T5_HUMAN_K1,F5_HANDOFF,8,1.2,5000.0,0.0,,,5000.0
T5_HUMAN_K1,F6_CONTEXT,16,0.96,5406.803772777412,0.125,,,5101.700943194353
T5_HUMAN_K1,F7_ADVERSARIAL,24,0.36,64827.03924026696,0.125,,,33209.00820201082
T5_HUMAN_K2,F1_DATA,24,1.7999999999999998,5000.0,0.0,,,5000.0
T5_HUMAN_K2,F2_SEMANTIC,8,1.44,5000.0,0.0,,,5000.0
T5_HUMAN_K2,F3_TOOL,32,1.2,5000.0,0.0,,,5000.0
T5_HUMAN_K2,F4_REASONING,8,2.1599999999999997,17304.25289272128,0.125,,,8184.354657281556
T5_HUMAN_K2,F5_HANDOFF,8,1.2,5000.0,0.0,,,5000.0
T5_HUMAN_K2,F6_CONTEXT,16,0.96,5338.632150203467,0.125,,,5084.6580375508665
T5_HUMAN_K2,F7_ADVERSARIAL,24,0.36,50210.412599259056,0.041666666666666664,,,12558.593713422577
T5_HUMAN_K3,F1_DATA,24,1.7999999999999998,5000.0,0.0,,,5000.0
T5_HUMAN_K3,F2_SEMANTIC,8,1.44,5000.0,0.0,,,5000.0
T5_HUMAN_K3,F3_TOOL,32,1.2,5000.0,0.03125,,,5431.885405316831
T5_HUMAN_K3,F4_REASONING,8,2.1599999999999997,20203.617328470624,0.125,,,12024.979304666022
T5_HUMAN_K3,F5_HANDOFF,8,1.2,5000.0,0.0,,,5000.0
T5_HUMAN_K3,F6_CONTEXT,16,0.96,5000.0,0.0,,,5000.0
T5_HUMAN_K3,F7_ADVERSARIAL,24,0.36,5000.0,0.041666666666666664,,,7251.363586852426
