topology,rho,firms,simulations,mean_sector_loss,var_995_sector,es_995_sector,diversification_ratio
T1_LINEAR,0.0,20,5000,4078028090.882514,10947710030.723864,12048883090.558184,0.2223303931712839
T1_LINEAR,0.3,20,5000,4066656155.671236,23534309255.8009,28894099206.490948,0.4779439914989083
T1_LINEAR,0.6,20,5000,4046418812.9868655,36278042681.838554,45023897678.50046,0.7367487328676058
T1_LINEAR,0.9,20,5000,4218613780.6060133,48093267835.58278,57964805249.29108,0.9766969637274897
T2_VALIDATOR,0.0,20,5000,989265.602416521,1197923.4044802345,1229520.2096142191,0.5835520422174882
T2_VALIDATOR,0.3,20,5000,987559.9540431069,1569947.0671517588,1665438.2456481326,0.7647782936566553
T2_VALIDATOR,0.6,20,5000,987346.7309044708,1817599.529762335,1948740.2958725183,0.8854188118868643
T2_VALIDATOR,0.9,20,5000,998607.4234428005,2022831.0138109915,2167354.4934754334,0.9853945291956712
T3_SUPERVISOR,0.0,20,5000,1028167.4000740311,1268017.9062251614,1291126.2435226133,0.5461861303508017
T3_SUPERVISOR,0.3,20,5000,1024881.7059249346,1679954.2515696692,1788668.3439804942,0.7236236233940712
T3_SUPERVISOR,0.6,20,5000,1026852.0435308347,1997112.8209223452,2119376.6838483475,0.8602365299247259
T3_SUPERVISOR,0.9,20,5000,1024447.7279220282,2204049.1662668525,2383909.9854687294,0.949372307217593
T4_CRITIC,0.0,20,5000,1164241.0619404882,1472301.8109361427,1522473.0934334404,0.5089826656631687
T4_CRITIC,0.3,20,5000,1161988.4071960198,2019783.854165154,2184914.5144317984,0.6982501566732076
T4_CRITIC,0.6,20,5000,1166033.865710148,2415158.765835991,2621361.4987228396,0.834933393074722
T4_CRITIC,0.9,20,5000,1163250.888921498,2857415.7684033746,3177393.3893148,0.9878240207999044
T5_HUMAN_K0,0.0,20,5000,3169426761.191354,10602290020.958168,11453255655.450603,0.26687602518862547
T5_HUMAN_K0,0.3,20,5000,3100488668.2350836,20186773183.2155,24165522405.896397,0.5081322787691496
T5_HUMAN_K0,0.6,20,5000,3199268885.410941,32498656208.011585,40234928674.240555,0.8180414019632674
T5_HUMAN_K0,0.9,20,5000,3247341491.2500167,44203123503.87439,54775534827.27927,1.1126609325265173
T5_HUMAN_K1,0.0,20,5000,1237534.9267244854,1622444.1743539898,1698492.7311844819,0.44696696036095285
T5_HUMAN_K1,0.3,20,5000,1244215.8942917727,2464636.252272828,2648813.794830466,0.6789823597551059
T5_HUMAN_K1,0.6,20,5000,1232530.4041973671,2936695.175675326,3271024.5159190786,0.8090298186690562
T5_HUMAN_K1,0.9,20,5000,1242333.6183831529,3550951.7438296494,3945252.2269333256,0.9782512905012116
T5_HUMAN_K2,0.0,20,5000,1106745.6391892491,1402589.515939984,1441146.714594887,0.5168490497859985
T5_HUMAN_K2,0.3,20,5000,1117208.4238938082,1931937.475038628,2079809.891705553,0.7119118151617513
T5_HUMAN_K2,0.6,20,5000,1114522.6207142146,2325069.148597517,2519847.0050675427,0.8567793830499355
T5_HUMAN_K2,0.9,20,5000,1110412.7078760057,2578366.259072657,2783277.8487412496,0.9501184315561395
T5_HUMAN_K3,0.0,20,5000,1241020.7858265657,1561255.0028646428,1595162.264996905,0.5355718156406476
T5_HUMAN_K3,0.3,20,5000,1241388.8271934853,2103984.205747484,2211991.829862271,0.7217492588231085
T5_HUMAN_K3,0.6,20,5000,1250111.4239665351,2521483.3251094,2714087.872619616,0.8649678624303108
T5_HUMAN_K3,0.9,20,5000,1248980.3457681779,2752530.382595924,3047630.0437264997,0.944226082163436
