topology,rho,firms,simulations,mean_sector_loss,var_995_sector,es_995_sector,diversification_ratio
T1_LINEAR,0.0,20,2000,32390236.417498995,58943354.57349888,61022750.73947849,0.3444199624146947
T1_LINEAR,0.3,20,2000,32231915.76981421,110347459.39758044,124225363.63139279,0.6447863053142087
T1_LINEAR,0.6,20,2000,32540740.09219406,148582733.2813944,166463214.95765552,0.8682040542575233
T1_LINEAR,0.9,20,2000,33519230.341544453,195659128.1055144,213985343.28445202,1.1432825640108966
T2_VALIDATOR,0.0,20,2000,445500.39862115576,568268.0765264925,594651.1795210214,0.5166073422968114
T2_VALIDATOR,0.3,20,2000,445503.0124876465,801328.4519649162,852345.1611163376,0.7284804108771965
T2_VALIDATOR,0.6,20,2000,444763.2310722213,970882.5851744101,1021844.2462756773,0.8826205319767365
T2_VALIDATOR,0.9,20,2000,451536.2546626417,1067663.4157250426,1152994.5109560385,0.9706031052045841
T5_HUMAN_K1,0.0,20,2000,477246.7342855822,628081.9464463809,649620.6816152101,0.4944621791968565
T5_HUMAN_K1,0.3,20,2000,480130.25457229937,941369.697895873,1019202.7313660469,0.7411002893572534
T5_HUMAN_K1,0.6,20,2000,477013.6024351808,1078375.358811566,1166797.1814242504,0.8489590139105826
T5_HUMAN_K1,0.9,20,2000,474586.0383690312,1225079.1042675516,1366469.0019619253,0.9644526275782384
